registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,issn,id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,texto_busca
119516,A Experiência brasileira em sistemas de informação em saúde /,,Saúde Pública -#$&Brasil.#$&Sistemas de recuperação da informação -#$&Saúde.#$&Sistemas de Informação -#$&saúde.#$&Saúde -#$&Inovações tecnológicas -#$&Brasil,,Livro,6,2009.,,"Ed. MS,",v.1 9788533415454 : v.2 9788533415461 (broch.),,964097,2012004403,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,004:614 E96 v.2,a experiência brasileira em sistemas de informação em saúde / nan saúde pública -#$&brasil.#$&sistemas de recuperação da informação -#$&saúde.#$&sistemas de informação -#$&saúde.#$&saúde -#$&inovações tecnológicas -#$&brasil
120432,Programming Netscape plug-ins /,,Linguagem de programação (Computadores).,"Oliphant, Zan",Livro,2,1996.,1. ed. -,"Sams.net publishing,",1575210983 (broch.),,1032758,2012000012,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 O47p 1.ed.,programming netscape plug-ins / nan linguagem de programação (computadores).
120736,Eletrônica básica para mecatrônica /,,Eletrônica.#$&Mecatrônica.#$&Mecânica.#$&Inteligência artificial.,"Braga, Newton C.",Livro,5,2005.,1. ed.-,"Saber,",,,274427,2009033116,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,621.38 B813e 1.ed.,eletrônica básica para mecatrônica / nan eletrônica.#$&mecatrônica.#$&mecânica.#$&inteligência artificial.
120740,Aprenda a usar o NI Multisim :,primeiros passos para você criar e simular seus circuitos eletrônicos /,Circuitos eletrônicos.#$&Simulação por computador.#$&NI Multisim (Programa de computador).,"Braga, Newton C.",Livro,2,2008.,,"Saber,",8571160392 (broch.),,274433,2009033130,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,621.38 B813a,aprenda a usar o ni multisim : primeiros passos para você criar e simular seus circuitos eletrônicos / circuitos eletrônicos.#$&simulação por computador.#$&ni multisim (programa de computador).
120793,Reparo e manutenção de monitores /,Newton C. Braga.-,Monitores de vídeo -#$&Manutenção e reparos.#$&Tubos de imagem.#$&Circuitos integrados.#$&Microcomputador -#$&Manutenção e reparos.#$&Informática.#$&Eletrônica.,"Braga, Newton C.",Livro,4,2005.,1. ed.-,"Saber,",8571160171 (broch.),,274548,2009033097,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.353 B813r 1.ed,reparo e manutenção de monitores / newton c. braga.- monitores de vídeo -#$&manutenção e reparos.#$&tubos de imagem.#$&circuitos integrados.#$&microcomputador -#$&manutenção e reparos.#$&informática.#$&eletrônica.
120799,"Montagem, configuração e manutenção de computadores /",Daniel Appel... [et al.].-,Computadores.#$&Montagem (Computadores).#$&Microcomputadores -#$&Manutenção e reparos.,,Livro,4,2006.,2.ed. ampl. atual.-,"Saber,",857116035X (broch.),,274564,2009033106,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004 M758 2.ed. v.2,"montagem, configuração e manutenção de computadores / daniel appel... [et al.].- computadores.#$&montagem (computadores).#$&microcomputadores -#$&manutenção e reparos."
120911,Fundamentos de bancos de dados :,"modelagem, projeto e linguagem SQL /",Software.#$&Banco de dados -#$&Desenvolvimento.#$&Projeto de banco de dados.#$&SQL (Linguagem de programação de computador).#$&Engenharia de software.#$&Computação.,"Guimarães, Célio Cardoso,",Livro,7,2003.,,"Ed. da UNICAMP,",8526806335 (broch.),,274726,2009033949,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.4 G963f,"fundamentos de bancos de dados : modelagem, projeto e linguagem sql / software.#$&banco de dados -#$&desenvolvimento.#$&projeto de banco de dados.#$&sql (linguagem de programação de computador).#$&engenharia de software.#$&computação."
121543,Animação em 3ds Max 6 /,,Computação gráfica.#$&Animação por computador.#$&3ds max (Programa de Computador).,"Fox, Barrett.",Livro,2,c2004.,,"Ciência Moderna,",8573933445 (broch.),,1123570,2014030717,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.92 F791a,animação em 3ds max 6 / nan computação gráfica.#$&animação por computador.#$&3ds max (programa de computador).
121625,3ds max 7:,prático e ilustrado /,Computação gráfica.#$&3ds max (Programa de computador).#$&Animação por computador.,"Silva, João Carlos da,",Livro,2,2005.,1. ed. -,"Érica,",853650014X (broch.),,1379200,2023003748,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.92 S586t 1.ed.,3ds max 7: prático e ilustrado / computação gráfica.#$&3ds max (programa de computador).#$&animação por computador.
122063,Sistemas agrossilvipastoris na América do Sul :,desafios e potencialidades /,Pecuária -#$&América do Sul.#$&Sistema silvipastoril.,,Livro,2,2007.,1. ed. -,"Embrapa Gado de Leite,",9788585748951 (broch.).,,1374785,2023000291,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,636(8) S623 1.ed.,sistemas agrossilvipastoris na américa do sul : desafios e potencialidades / pecuária -#$&américa do sul.#$&sistema silvipastoril.
